1.0.1	pṛthvī [17: jsjsylg]
1.4.110	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.111	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.112	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.113	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.4.114	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.4.115	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.116	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.117	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.118	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.119	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.120	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.121	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.122	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.4.123	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
1.4.124	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.125	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.4.126	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.127	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.128	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.129	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.130	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.131	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.132	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.133	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.134	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.135	āryā (12, 18, 12, 15)
1.4.136	upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]
